review_text,rating,thumbs_up_count,app_version,source
uss less app i stop use but they also increases money in negative and told pay right now use very bad don't download this app. this app only make money in your pocket,5,0,,google_play
"kyc process takes longer than usual time, now sent closure request before 2days,again on waiting, no reply of msg,mail and when call, ivr keeps you on waiting and <PERSON> minutes call ends,and also no follow up for my request from their side, i just uninstalled the app, worst experience...",1,0,,google_play
in alert there is no any notes options and tone,3,0,18.14.2,google_play
"many important changes reqired, user friendly not there. , there should be add and remove settings for the option greeks as per user desides set on the page and also which is occupied full of space and data is not updated in time that shows same numbers always another pcr value must be visible on the upside of the each page each sector. speed needs to be improve lot. data not updating time to time. most of the time change in oi stucks with sams data for long time. etc, etc,.",1,0,18.14.2,google_play
"thanks groww maker's and team for make a easy to access, <LOCATION> stock market... love support and respect your dedication and service.... recommended application for <LOCATION> stock market like stocks buy sell etf s and all service....",5,0,18.14.2,google_play
very poor i need is normal not any changes,2,1,,google_play
"my stock portfolio is showing wrong information and i shared screenshots multiple time with customer care representatives both from pc login and mobile app screenshot, yet customer care is unable to fix my problem, all they do is they forward the complaint and forget about it. a person named <PERSON> closed my complaint twice without even saying something, he sent me pre typed messages that i have to clear the cache of app and reinstall it. ticket id 27281436",1,75,18.15.0,google_play
if you want to lose your money you are most welcome in groww app. groww is taking 20rs. per order so many apps are not taking brokerage like 1. flat trade <URL>oonya these are good app for expert zerodha,1,1,18.14.2,google_play
very good but can it be in the trading view also to get connected to it,5,1,18.15.0,google_play
bonds payout can't be updated amount can be ch,4,0,18.14.2,google_play
i love you grow... i wish you keep growing and so grows our future...,5,0,18.14.2,google_play
i would love to have a demat account,5,0,18.15.0,google_play
"started using groww for mutual funds and stocks just 2 days ago, and already disappointed. there are hidden charges on small, small services that aren't clearly disclosed upfront — feels misleading for a new user. on top of that, the app isn't very convenient to navigate, and customer support has been slow and lacks proper knowledge to resolve issues. within just 2 days i've decided to close my account. would not recommend to anyone looking for a transparent, user-friendly platform.",1,0,18.14.2,google_play
groww app used to give platform for fixed deposit. i invested in fixed deposit through it and now it is not showing in groww app <URL>d they are not even responding <URL>ey are saying to go to bank <URL>nk is saying go to groww app. nor their customer support is knowledgeable enough to answer questions. my money is stuck. not expected from such big name app. my ticket is 27208454. i have already sent email and they have generated ticket but no action taken nor they have replied,2,0,,google_play
last few experience with groww is very comfortable.,4,0,18.14.2,google_play
selfie verification while login is not possible when u logging again and again it should be removed,1,1,18.14.2,google_play
this app is easy for me to use and i am happy,5,0,18.14.2,google_play
"there is a serious glitch in 'portfolio analysis' feature since last many updates, and its a serious matter. correct it or i have options !",2,0,18.15.0,google_play
data protection is absolutely worst with this broker. they will sell your personal information to scammer. i have been using zerodha for the past two year. there is no single event of spam calls regarding trading advice. but after i installed and opened account with groww i constantly getting spam calls. this is very disturbing behavior from this broker.,1,0,18.14.2,google_play
groww is safest platform for trading mutual funds and intraday trading,4,0,18.14.2,google_play
